Preference,Probability
Running,0.08957973
Cycling,0.090093605
Swimming,0.09053466
Yoga,0.09327959
Gym Workouts,0.094934955
Team Sports,0.09389487
Hiking,0.09003353
Martial Arts,0.086906694
Dancing,0.091800325
Gaming,0.088376045
Jewellery,0.0905661
