Preference,Probability
Running,0.089055486
Cycling,0.08874232
Swimming,0.091491625
Yoga,0.09210465
Gym Workouts,0.095554374
Team Sports,0.09425441
Hiking,0.08943301
Martial Arts,0.088438734
Dancing,0.09154404
Gaming,0.08789898
Jewellery,0.09148233
