Preference,Probability
Running,0.08936066
Cycling,0.089428194
Swimming,0.09016469
Yoga,0.09224798
Gym Workouts,0.09461908
Team Sports,0.09536907
Hiking,0.08890114
Martial Arts,0.087801576
Dancing,0.090720184
Gaming,0.08935212
Jewellery,0.09203525
