Preference,Probability
Running,0.0898499
Cycling,0.0893045
Swimming,0.08989079
Yoga,0.09176118
Gym Workouts,0.09533138
Team Sports,0.09338979
Hiking,0.089581944
Martial Arts,0.0882966
Dancing,0.0930696
Gaming,0.08872026
Jewellery,0.09080406
