Preference,Probability
Running,0.09095891
Cycling,0.092817105
Swimming,0.08742245
Yoga,0.09244421
Gym Workouts,0.089787126
Team Sports,0.09427262
Hiking,0.09339082
Martial Arts,0.08356561
Dancing,0.09311278
Gaming,0.09195799
Jewellery,0.090270355
