Preference,Probability
Running,0.088096395
Cycling,0.088271886
Swimming,0.091315
Yoga,0.09192898
Gym Workouts,0.09954035
Team Sports,0.09383144
Hiking,0.088204496
Martial Arts,0.08933482
Dancing,0.090063125
Gaming,0.08850397
Jewellery,0.09090951
