Preference,Probability
Running,0.088423476
Cycling,0.08749737
Swimming,0.09402137
Yoga,0.09202641
Gym Workouts,0.099277325
Team Sports,0.09319487
Hiking,0.08756835
Martial Arts,0.09069311
Dancing,0.09025958
Gaming,0.0861143
Jewellery,0.09092384
