Preference,Probability
Running,0.09034368
Cycling,0.0888254
Swimming,0.09217304
Yoga,0.0925022
Gym Workouts,0.09661832
Team Sports,0.09308099
Hiking,0.0890145
Martial Arts,0.08805947
Dancing,0.090455964
Gaming,0.08733291
Jewellery,0.09159358
