Preference,Probability
Running,0.08810513
Cycling,0.08867395
Swimming,0.090623595
Yoga,0.092426546
Gym Workouts,0.09963792
Team Sports,0.09420713
Hiking,0.089097895
Martial Arts,0.08670628
Dancing,0.09206307
Gaming,0.08741442
Jewellery,0.09104399
