Preference,Probability
Running,0.088531025
Cycling,0.08906565
Swimming,0.09072244
Yoga,0.09266776
Gym Workouts,0.095876984
Team Sports,0.09379014
Hiking,0.089093946
Martial Arts,0.08823992
Dancing,0.09087162
Gaming,0.087881014
Jewellery,0.09325958
