Preference,Probability
Running,0.089380026
Cycling,0.08827631
Swimming,0.09265191
Yoga,0.09215627
Gym Workouts,0.09884185
Team Sports,0.09340712
Hiking,0.08866555
Martial Arts,0.08850565
Dancing,0.090919115
Gaming,0.08621423
Jewellery,0.09098206
