Preference,Probability
Running,0.08751302
Cycling,0.08800465
Swimming,0.092009395
Yoga,0.092629164
Gym Workouts,0.102972046
Team Sports,0.0940002
Hiking,0.087674715
Martial Arts,0.08968567
Dancing,0.0895885
Gaming,0.08617334
Jewellery,0.08974932
