Preference,Probability
Running,0.08940316
Cycling,0.08900501
Swimming,0.0905063
Yoga,0.091496006
Gym Workouts,0.09434798
Team Sports,0.094341695
Hiking,0.08964398
Martial Arts,0.086629294
Dancing,0.09187321
Gaming,0.08844104
Jewellery,0.0943122
