Preference,Probability
Running,0.08698517
Cycling,0.08676487
Swimming,0.09395461
Yoga,0.09111869
Gym Workouts,0.102167904
Team Sports,0.09553007
Hiking,0.0862295
Martial Arts,0.090633675
Dancing,0.0898254
Gaming,0.08535436
Jewellery,0.09143573
