Preference,Probability
Running,0.08963998
Cycling,0.09022587
Swimming,0.09006163
Yoga,0.09196619
Gym Workouts,0.09426262
Team Sports,0.09457848
Hiking,0.08992552
Martial Arts,0.08796283
Dancing,0.090428844
Gaming,0.09034075
Jewellery,0.09060729
